dpt,Ref fiscale + ref avis,declarant1.nom,declarant1.nomNaissance,declarant1.prenoms,declarant1.dob,declarant2.nom,declarant2.nomNaissance,declarant2.prenoms,declarant2.dob,adress.ligne1,adress.ligne2,anneeImpots,anneeRevenus,dateRecouvrement,dateEtablissement,nombreParts,situationFamiliale,nombreDePersonneACharge,revenuBrutGlobal,revenuImposable,impotsNetAvantCorrections,impots,revenuFiscalReference
25,1702599999014+1702599999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER ,Catherine,13/08/1967,1 Rue des Marronniers,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €
25,1702599999015+1702599999015,ROUX,ROUX,Pascal,13/08/1967,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2017,2016,13/07/2017,13/07/2017,3,,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €
25,1702599999016+1702599999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER ,Rose,19/09/1954,5 rue du Tacot,25660 Montrond-le-Château,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
25,1702599999017+1702599999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,,,,,3 Rue Jean Jaurès,25500 Morteau,2017,2016,10/10/2017,08/07/2017,1,,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
25,1702599999018+1702599999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND ,Florence,01/08/1947,1 Rue des Marronniers,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €
25,1702599999019+1702599999019,FOURNIER,FOURNIER,Thierry,19/09/1954,,,,,1 Rossignier Haut,25570 Grand'Combe-Châteleu,2017,2016,10/10/2017,08/07/2017,1,,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €
25,1702599999020+1702599999020,GIRARD,GIRARD,Olivier,13/08/1967,,,,,5 rue du Tacot,25660 Montrond-le-Château,2017,2016,13/07/2017,13/07/2017,1,,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €
88,1708899999001+1708899999001,MARTIN,MARTIN,Jean,13/08/1967,MARTIN,BONNET ,Sylvie,01/08/1947,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €
88,1708899999002+1708899999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT ,Nathalie,01/12/1973,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €
88,1708899999003+1708899999003,THOMAS,THOMAS,Michel,19/09/1954,THOMAS,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €
88,1708899999004+1708899999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE ,Rosette,24/11/1967,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €
88,1708899999005+1708899999005,ROBERT,ROBERT,Patrick,16/02/1949,ROBERT,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,13/07/2017,13/07/2017,1,,1,16 550 €,16 550 €,0 €,0 €,16 550 €
88,1708899999006+1708899999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT ,Françoise,13/08/1967,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €
88,1708899999007+1708899999007,DURAND,DURAND,Christophe,22/03/1985,DURAND,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,2,,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €
88,1708899999008+1708899999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE ,Alain,16/02/1949,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €
88,1708899999009+1708899999009,MOREAU,MOREAU,Christian,13/08/1967,MOREAU,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,1,,1,33 775 €,33 775 €,731 €,731 €,33 775 €
88,1708899999010+1708899999010,LAURENT,LAURENT,Éric,16/02/1949,LAURENT,,,,5 Rue Charles Derise,88500 Mirecourt,2017,2016,13/07/2017,13/07/2017,1,,1,18 876 €,18 876 €,0 €,0 €,18 876 €
88,1708899999011+1708899999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER ,Amina,19/09/1954,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €
88,1708899999012+1708899999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC ,Isabelle,13/08/1967,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €
88,1708899999013+1708899999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,LEFEBVRE,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,3,,3,4 394 €,4 394 €,0 €,0 €,4 394 €
88,1708899999014+1708899999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER ,Catherine,13/08/1967,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €
88,1708899999015+1708899999015,ROUX,ROUX,Pascal,13/08/1967,ROUX,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,13/07/2017,13/07/2017,3,,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €
88,1708899999016+1708899999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER ,Rose,19/09/1954,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
88,1708899999017+1708899999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,BERTRAND,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,1,,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
88,1708899999018+1708899999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND ,Florence,01/08/1947,5 Rue Charles Derise,88500 Mirecourt,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €
88,1708899999019+1708899999019,FOURNIER,FOURNIER,Thierry,19/09/1954,FOURNIER,,,,1 Rue de la Gare,88310 Cornimont,2017,2016,10/10/2017,08/07/2017,1,,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €
88,1708899999020+1708899999020,GIRARD,GIRARD,Olivier,13/08/1967,GIRARD,,,,5 Rue Charles Derise,88500 Mirecourt,2017,2016,13/07/2017,13/07/2017,1,,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €
62,1706299999001+1706299999001,MARTIN,MARTIN,Jean,13/08/1967,MARTIN,BONNET ,Sylvie,01/08/1947,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €
62,1706299999002+1706299999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT ,Nathalie,01/12/1973,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €
62,1706299999003+1706299999003,THOMAS,THOMAS,Michel,19/09/1954,THOMAS,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €
62,1706299999004+1706299999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE ,Rosette,24/11/1967,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €
62,1706299999005+1706299999005,ROBERT,ROBERT,Patrick,16/02/1949,ROBERT,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,13/07/2017,13/07/2017,1,,1,16 550 €,16 550 €,0 €,0 €,16 550 €
62,1706299999006+1706299999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT ,Françoise,13/08/1967,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €
62,1706299999007+1706299999007,DURAND,DURAND,Christophe,22/03/1985,DURAND,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,2,,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €
62,1706299999008+1706299999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE ,Alain,16/02/1949,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €
62,1706299999009+1706299999009,MOREAU,MOREAU,Christian,13/08/1967,MOREAU,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,1,,1,33 775 €,33 775 €,731 €,731 €,33 775 €
62,1706299999010+1706299999010,LAURENT,LAURENT,Éric,16/02/1949,LAURENT,,,,18 Rue du Général Potez,62170 Montreuil,2017,2016,13/07/2017,13/07/2017,1,,1,18 876 €,18 876 €,0 €,0 €,18 876 €
62,1706299999011+1706299999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER ,Amina,19/09/1954,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €
62,1706299999012+1706299999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC ,Isabelle,13/08/1967,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €
62,1706299999013+1706299999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,LEFEBVRE,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,3,,3,4 394 €,4 394 €,0 €,0 €,4 394 €
62,1706299999014+1706299999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER ,Catherine,13/08/1967,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €
62,1706299999015+1706299999015,ROUX,ROUX,Pascal,13/08/1967,ROUX,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,13/07/2017,13/07/2017,3,,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €
62,1706299999016+1706299999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER ,Rose,19/09/1954,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
62,1706299999017+1706299999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,BERTRAND,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,1,,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
62,1706299999018+1706299999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND ,Florence,01/08/1947,18 Rue du Général Potez,62170 Montreuil,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €
62,1706299999019+1706299999019,FOURNIER,FOURNIER,Thierry,19/09/1954,FOURNIER,,,,4 Rue Camille Pissarro,62000 Arras,2017,2016,10/10/2017,08/07/2017,1,,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €
62,1706299999020+1706299999020,GIRARD,GIRARD,Olivier,13/08/1967,GIRARD,,,,18 Rue du Général Potez,62170 Montreuil,2017,2016,13/07/2017,13/07/2017,1,,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €
31,1703199999001+1703199999001,MARTIN,MARTIN,Jean,13/08/1967,MARTIN,BONNET ,Sylvie,01/08/1947,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €
31,1703199999002+1703199999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT ,Nathalie,01/12/1973,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €
31,1703199999003+1703199999003,THOMAS,THOMAS,Michel,19/09/1954,THOMAS,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €
31,1703199999004+1703199999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE ,Rosette,24/11/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €
31,1703199999005+1703199999005,ROBERT,ROBERT,Patrick,16/02/1949,ROBERT,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,13/07/2017,13/07/2017,1,,1,16 550 €,16 550 €,0 €,0 €,16 550 €
31,1703199999006+1703199999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT ,Françoise,13/08/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €
31,1703199999007+1703199999007,DURAND,DURAND,Christophe,22/03/1985,DURAND,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,2,,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €
31,1703199999008+1703199999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE ,Alain,16/02/1949,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €
31,1703199999009+1703199999009,MOREAU,MOREAU,Christian,13/08/1967,MOREAU,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,,1,33 775 €,33 775 €,731 €,731 €,33 775 €
31,1703199999010+1703199999010,LAURENT,LAURENT,Éric,16/02/1949,LAURENT,,,,16 Rue de l'Europe,31140 Aucamville,2017,2016,13/07/2017,13/07/2017,1,,1,18 876 €,18 876 €,0 €,0 €,18 876 €
31,1703199999011+1703199999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER ,Amina,19/09/1954,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €
31,1703199999012+1703199999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC ,Isabelle,13/08/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €
31,1703199999013+1703199999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,LEFEBVRE,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,3,,3,4 394 €,4 394 €,0 €,0 €,4 394 €
31,1703199999014+1703199999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER ,Catherine,13/08/1967,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €
31,1703199999015+1703199999015,ROUX,ROUX,Pascal,13/08/1967,ROUX,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,13/07/2017,13/07/2017,3,,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €
31,1703199999016+1703199999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER ,Rose,19/09/1954,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
31,1703199999017+1703199999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,BERTRAND,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
31,1703199999018+1703199999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND ,Florence,01/08/1947,16 Rue de l'Europe,31140 Aucamville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €
31,1703199999019+1703199999019,FOURNIER,FOURNIER,Thierry,19/09/1954,FOURNIER,,,,15 Rue d’Auriol,31400 Toulouse,2017,2016,10/10/2017,08/07/2017,1,,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €
31,1703199999020+1703199999020,GIRARD,GIRARD,Olivier,13/08/1967,GIRARD,,,,16 Rue de l'Europe,31140 Aucamville,2017,2016,13/07/2017,13/07/2017,1,,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €
95,1709599999001+1709599999001,MARTIN,MARTIN,Jean,13/08/1967,MARTIN,BONNET ,Sylvie,01/08/1947,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €
95,1709599999002+1709599999002,BERNARD,BERNARD,Philippe,22/03/1985,BERNARD,DUPONT ,Nathalie,01/12/1973,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €
95,1709599999003+1709599999003,THOMAS,THOMAS,Michel,19/09/1954,THOMAS,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,1,Célibataire,1,18 409 €,18 409 €,2 165 €,2 165 €,18 409 €
95,1709599999004+1709599999004,PETIT,PETIT,Alain,13/08/1967,PETIT,FONTAINE ,Rosette,24/11/1967,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,21 000 €,21 000 €,2 165 €,2 165 €,21 000 €
95,1709599999005+1709599999005,ROBERT,ROBERT,Patrick,16/02/1949,ROBERT,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,13/07/2017,13/07/2017,1,,1,16 550 €,16 550 €,0 €,0 €,16 550 €
95,1709599999006+1709599999006,RICHARD,RICHARD,Nicolas,13/08/1967,RICHARD,VINCENT ,Françoise,13/08/1967,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,4,Marié(e)s,4,48 751 €,48 751 €,1 432 €,1 432 €,48 751 €
95,1709599999007+1709599999007,DURAND,DURAND,Christophe,22/03/1985,DURAND,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,2,,2,43 296 €,43 296 €,1 432 €,1 432 €,43 296 €
95,1709599999008+1709599999008,DUBOIS,DUBOIS,Pierre,19/09/1954,DUBOIS,LEFEVRE ,Alain,16/02/1949,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,5,Marié(e)s,5,38 031 €,38 031 €,1 132 €,1 132 €,38 031 €
95,1709599999009+1709599999009,MOREAU,MOREAU,Christian,13/08/1967,MOREAU,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,1,,1,33 775 €,33 775 €,731 €,731 €,33 775 €
95,1709599999010+1709599999010,LAURENT,LAURENT,Éric,16/02/1949,LAURENT,,,,10 Cours du Puits,95690 Labbeville,2017,2016,13/07/2017,13/07/2017,1,,1,18 876 €,18 876 €,0 €,0 €,18 876 €
95,1709599999011+1709599999011,SIMON,SIMON,Frédéric,16/02/1949,SIMON,MERCIER ,Amina,19/09/1954,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,25 258 €,25 258 €,0 €,0 €,25 258 €
95,1709599999012+1709599999012,MICHEL,MICHEL,Laurent,13/08/1967,MICHEL,BLANC ,Isabelle,13/08/1967,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,20 000 €,20 000 €,0 €,0 €,20 000 €
95,1709599999013+1709599999013,LEFEBVRE,LEFEBVRE,Stéphane,22/03/1985,LEFEBVRE,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,3,,3,4 394 €,4 394 €,0 €,0 €,4 394 €
95,1709599999014+1709599999014,LEROY,LEROY,David,19/09/1954,LEROY,BOYER ,Catherine,13/08/1967,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 505 €,29 505 €,2 165 €,2 165 €,29 505 €
95,1709599999015+1709599999015,ROUX,ROUX,Pascal,13/08/1967,ROUX,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,13/07/2017,13/07/2017,3,,3,25 256 €,25 256 €,2 165 €,2 165 €,25 256 €
95,1709599999016+1709599999016,DAVID,DAVID,Daniel,16/02/1949,DAVID,CHEVALIER ,Rose,19/09/1954,27 rue des Ecoles,95610 Eragny,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
95,1709599999017+1709599999017,BERTRAND,BERTRAND,Alexandre,13/08/1967,BERTRAND,,,,1 Rue des Frères Rousse,95780 La Roche-Guyon,2017,2016,10/10/2017,08/07/2017,1,,1,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €
95,1709599999018+1709599999018,MOREL,MOREL,Julien,22/03/1985,MOREL,LEGRAND ,Florence,01/08/1947,10 Cours du Puits,95690 Labbeville,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,37 825 €,37 825 €,2 665 €,2 665 €,37 825 €
95,1709599999019+1709599999019,FOURNIER,FOURNIER,Thierry,19/09/1954,FOURNIER,,,,14 Avenue du Dr Charles Fritz,95290 L'Isle-Adam,2017,2016,10/10/2017,08/07/2017,1,,1,32 376 €,32 376 €,2 165 €,2 165 €,32 376 €
95,1709599999020+1709599999020,GIRARD,GIRARD,Olivier,13/08/1967,GIRARD,,,,27 rue des Ecoles,95610 Eragny,2017,2016,13/07/2017,13/07/2017,1,,1,48 751 €,48 751 €,1 123 €,1 123 €,48 751 €
25,1702588888001+1702588888001,MARTIN ,MARTIN ,Jean-étienne,13/08/1967,MARTIN ,BONNET ,Sylvie,01/08/1947,3 Rue Jean Jaurès,25500 Morteau,2017,2016,10/10/2017,08/07/2017,2,Marié(e)s,2,26 922 €,26 922 €,2 165 €,2 165 €,26 922 €
